sw_sequential_random, 0.050909, 1000,result
sw_sequential_random, 0.205077, 2000,result
sw_sequential_random, 0.466573, 3000,result
sw_sequential_random, 0.818291, 4000,result
sw_sequential_random, 1.280939, 5000,result
sw_sequential_random, 1.842906, 6000,result
sw_sequential_random, 2.529346, 7000,result
sw_sequential_random, 3.297093, 8000,result
sw_sequential_random, 4.169630, 9000,result
sw_sequential_random, 5.171030, 10000,result
sw_sequential_random, 6.230284, 11000,result
sw_sequential_random, 7.431757, 12000,result
sw_sequential_random, 8.984918, 13000,result
sw_sequential_random, 10.063175, 14000,result
sw_sequential_random, 11.546936, 15000,result
